File,Graph_Index,Num_Nodes,Num_Edges,Centrality_Degree_Average,Centrality_Degree_Minimum,Centrality_Degree_Maximum,Centrality_Degree_Standard Deviation,Centrality_Closeness_Average,Centrality_Closeness_Minimum,Centrality_Closeness_Maximum,Centrality_Closeness_Standard Deviation,Centrality_Betweenness_Average,Centrality_Betweenness_Minimum,Centrality_Betweenness_Maximum,Centrality_Betweenness_Standard Deviation,Centrality_Eigenvector_Average,Centrality_Eigenvector_Minimum,Centrality_Eigenvector_Maximum,Centrality_Eigenvector_Standard Deviation,Centrality_Katz Centrality_Average,Centrality_Katz Centrality_Minimum,Centrality_Katz Centrality_Maximum,Centrality_Katz Centrality_Standard Deviation,Centrality_PageRank_Average,Centrality_PageRank_Minimum,Centrality_PageRank_Maximum,Centrality_PageRank_Standard Deviation,Centrality_Harmonic Centrality_Average,Centrality_Harmonic Centrality_Minimum,Centrality_Harmonic Centrality_Maximum,Centrality_Harmonic Centrality_Standard Deviation,Centrality_Current-flow Betweenness_Average,Centrality_Current-flow Betweenness_Minimum,Centrality_Current-flow Betweenness_Maximum,Centrality_Current-flow Betweenness_Standard Deviation,Connectivity_Node Connectivity_Value,Connectivity_Edge Connectivity_Value,Connectivity_Algebraic Connectivity_Value,Connectivity_Average Node Connectivity_Value,Connectivity_Graph Density_Value,Connectivity_Average Shortest Path Length_Value,Connectivity_Global Clustering Coefficient_Value,Connectivity_Minimum Node Cut_Value,Connectivity_Minimum Edge Cut_Value,Number of connected components,Size of largest component,Graph diameter
graph_1098.g6,0,112,560,0.09009009009009007,0.09009009009009009,0.09009009009009009,0.0,0.3964285714285721,0.3964285714285714,0.3964285714285714,0.0,0.013841113841113846,0.013841113841113802,0.01384111384111383,5.35860878640336e-18,0.09449111825230701,0.0944911182523068,0.0944911182523068,0.0,0.09449111825230701,0.09449111825230681,0.09449111825230681,0.0,0.008928571428571418,0.00892857142857143,0.00892857142857143,0.0,50.2,50.19999999999996,50.20000000000011,4.9162230632649834e-14,0.028612378612378645,0.028612378612378545,0.02861237861237882,5.054970175230944e-17,10,10,5.999999999999999,10.0,0.09009009009009009,2.5225225225225225,0.0,"{0, 100, 101, 70, 72, 106, 86, 91, 92, 95}","{(5, 111), (55, 111), (25, 111), (63, 111), (4, 111), (57, 111), (23, 111), (61, 111), (46, 111), (31, 111)}",1,112,5
graph_1210.g6,0,112,168,0.027027027027027056,0.02702702702702703,0.02702702702702703,0.0,0.21470099667774095,0.21428571428571427,0.21511627906976744,0.0004152823920265808,0.033251433251433295,0.03325143325143323,0.033251433251433274,6.752462261334935e-18,0.09449111825230701,0.09449111825230679,0.09449111825230679,0.0,0.09449111825230701,0.09449111825230681,0.09449111825230681,0.0,0.008928571428571418,0.008928571428571428,0.008928571428571428,0.0,27.945833333333347,27.924999999999972,27.966666666666665,0.02083333333333989,0.062296948184044965,0.06229694818404482,0.062296948184045055,4.0308236105021866e-17,3,3,0.43844718719117043,3.0,0.02702702702702703,4.657657657657658,0.0,"{0, 107, 111}","{(104, 111), (3, 111), (101, 111)}",1,112,8
graph_1312.g6,0,120,720,0.10084033613445358,0.10084033613445378,0.10084033613445378,0.0,0.3552238805970156,0.35522388059701493,0.35522388059701493,0.0,0.015382424156103124,0.015382424156103074,0.015382424156103105,7.08286412699644e-18,0.0912870929175275,0.09128709291752768,0.09128709291752768,0.0,0.0912870929175275,0.09128709291752769,0.09128709291752769,0.0,0.008333333333333325,0.008333333333333333,0.008333333333333333,0.0,50.199999999999896,50.199999999999974,50.20000000000009,1.4291548535108318e-14,0.03719250412029226,0.037192504120292055,0.03719250412029235,5.654923594388868e-17,12,12,2.291796067500632,12.0,0.10084033613445378,2.8151260504201683,0.45454545454545453,"{0, 3, 6, 7, 8, 107, 12, 110, 108, 114, 118, 93}","{(103, 99), (75, 99), (114, 99), (87, 99), (104, 99), (57, 99), (58, 99), (118, 99), (86, 99), (119, 99), (76, 99), (6, 99)}",1,120,5
graph_660_petersen_graph.g6,0,10,15,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.0,0.5999999999999999,0.6,0.6,0.0,0.08333333333333334,0.08333333333333333,0.08333333333333333,0.0,0.31622776601683794,0.31622776601683794,0.31622776601683794,0.0,0.31622776601683794,0.3162277660168379,0.3162277660168379,0.0,0.09999999999999999,0.1,0.1,0.0,6.0,6.0,6.0,0.0,0.19999999999999998,0.19999999999999987,0.20000000000000007,5.438959822042073e-17,3,3,1.9999999999999998,3.0,0.3333333333333333,1.6666666666666667,0.0,"{0, 8, 7}","{(9, 5), (7, 5), (1, 5)}",1,10,2
